badword,type,replacement_word,replacement_word_type
mofo,noun,,
mofoass,noun,,
mofoes,noun,,
mofos,noun,,
mofoshit,noun,,
mofuccers,noun,,
mofucckers,noun,,
mofuck,noun,,
mofucker,verb,,
mofuckkas,noun,,
mofuk,noun,,
mofukkas,noun,,
molester,verb,,
mong,noun,,
mongoloid,noun,,
mongrel,noun,,
mothafcked,verb,,
mothafcking,verb,,
mothafucc,noun,,
mothafucced,verb,,
mothafuccer,verb,,
mothafuccing,verb,,
mothafuck,noun,,
mothafucka,noun,,
mothafuckas,noun,,
mothafuckasses,noun,,
mothafuckaz,noun,,
mothafuckazzes,noun,,
mothafucked,verb,,
mothafuckeds,noun,,
mothafucker,verb,,
mothafuckers,noun,,
mothafuckin,noun,,
mothafucking,verb,,
mothafuckings,noun,,
mothafuckins,noun,,
mothafucks,noun,,
mothafuckz,noun,,
mothafvcked,verb,,
mothercker,verb,,
mothereffer,verb,,
motherfacking,verb,,
motherfcked,verb,,
motherfckin,noun,,
motherfcking,verb,,
motherfcks,noun,,
motherfckshit,noun,,
motherfecka,noun,,
motherfecker,verb,,
motherfk,noun,,
motherfkka,noun,,
motherfucca,noun,,
motherfuccas,noun,,
motherfuccers,noun,,
motherfuck,noun,,
motherfucka,noun,,
motherfucked,verb,,
motherfuckeds,noun,,
motherfucker,verb,terrible person,literal
motherfuckers,noun,,
motherfuckin,noun,,
motherfucking,verb,,
motherfuckings,noun,,
motherfuckingshit,noun,,
motherfuckins,noun,,
motherfuckka,noun,,
motherfuckkas,noun,,
motherfuckkers,noun,,
motherfucks,noun,,
motherfuckyou,noun,,
motherfukka,noun,,
motherfukker,verb,,
motherfukkings,noun,,
motherfvck,noun,,
motherfvcked,verb,,
motherfvckeds,noun,,
motherfvcker,verb,,
motherfvckers,noun,,
motherfvcking,verb,,
motherfxck,noun,,
motherfxcking,verb,,
mothfck,noun,,
mothterfuck,noun,,
mtherfuker,verb,,
mthrfcker,verb,,
muddafukkas,noun,,
mudderfuk,noun,,
mudderfukker,verb,,
mufdive,noun,,
mufdivin,noun,,
muff,noun,,
muffdiving,verb,,
muffdivings,noun,,
muffindivin,noun,,
muffindiving,verb,,
muhfucking,verb,,
mushroomtip,noun,,
muthafecker,verb,,
muthafeckers,noun,,
muthafucka,noun,,
muthafucker,verb,,
muthafuckers,noun,,
muthafuckings,noun,,
muthafuckker,verb,,
muthafuckkers,noun,,
muthafukka,noun,,
mutherfucker,verb,,
mutherfuckers,noun,,
n0bhead,noun,,
n0bj0cky,noun,,
n1ckker,verb,,
n1g3r,noun,,
n1g3rz,noun,,
n1gg,noun,,
n1gg3r,noun,,
n1gg3rs,noun,,
n1gga,noun,,
n1ggah,noun,,
n1ggahs,noun,,
n1ggas,noun,,
n1ggazes,noun,,
n1gger,verb,,
n1ggers,noun,,
n1gghs,noun,,
n1gguh,noun,,
n3gro,noun,,
negga,noun,,
neggar,noun,,
negr0,noun,,
negro,noun,,
negroes,noun,,
negroid,noun,,
niccer,verb,,
nicka,noun,,
nickas,noun,,
nicker,verb,,
nickk3r,noun,,
nickker,verb,,
nig,noun,,
niga,noun,,
nigah,noun,,
nigasses,noun,,
nigers,noun,,
nigg,noun,,
nigg3r,noun,,
nigg3rs,noun,,
nigg4h,noun,,
nigg4hs,noun,,
nigga,noun,,
niggah,noun,,
niggahs,noun,,
niggahz,noun,,
niggalover,verb,,
niggas,noun,,
niggass,noun,,
niggaz,noun,,
niggazzes,noun,,
nigger,verb,person,neutral
