badword,replacement_word,type
pussywhipped,,noun
pusy,,noun
puta,,noun
puussy,,noun
puzzies,,noun
puzzy,,noun
queerasses,,noun
queers,thwart,verb
r3tard,,noun
r3trd,,noun
r3trded,,noun
raghead,,noun
ragheads,,noun
ragtard,,noun
ramrod,,noun
ratbastard,,noun
ratbaztad,,noun
reacharound,,noun
rectum,,noun
redskin,Injun,noun
retard,,verb
retardo,,noun
retardotron,,noun
ricemonkey,,noun
rimjob,,noun
sack,poke,noun
saladtosser,,noun
sambo,,noun
sandnigger,,noun
sausagejockey,,noun
scamfuck,,noun
schlong,,noun
scumfuck,,noun
scumfucker,,noun
scumfvck,,noun
scummy,abject,noun
scut,,noun
sh,,noun
sh1s,,noun
sh1t,,noun
sh1t3,,noun
sh1td1ck,,noun
sh1tdick,,noun
sh1te,,noun
sh1tfuck,,noun
sh1th3ad,,noun
sh1theads,,noun
sh1ts,,noun
sh1tsome,,noun
sh1tt,,noun
sh1tty,,noun
sh3mal3,,noun
sh3male,,noun
shat,denounce,verb
sheeeet,,noun
sheet,,noun
sheister,,noun
shemal3,,noun
shemale,,noun
shemales,,noun
shet,,noun
shi,,noun
shiat,,noun
shiddick,,noun
shie,,noun
shiester,,noun
shiesterfuck,,noun
shiesterfuckface,,noun
shiesterfuckhead,,noun
shiesterfucks,,noun
shipdit,,noun
shis,,noun
shit,crap,noun
shit3,,noun
shitarse,,noun
shitass,,noun
shitasses,,noun
shitassfucker,,noun
shitassfuckface,,noun
shitbag,,noun
shitbandit,,noun
shitbird,,noun
shitblimp,,noun
shitblimps,,noun
shitbrain,,noun
shitd1ck,,noun
shitdick,,noun
shitdicks,,noun
shitdikk,,noun
shitdip,,noun
shite,crap,noun
shiteblimps,,noun
shited,denounce,verb
shitedick,,noun
shitefuck,,noun
shitefulls,,noun
shitehead,,noun
shites,denounce,verb
shitey,,noun
shitface,,noun
shitfaced,,noun
shitfacefuck,,noun
shitfacefucker,,noun
shitfck,,noun
shitfk,,noun
shitforbrains,,noun
shitfreak,,noun
shitfuck,,noun
shitfucker,,noun
shitfuckhead,,noun
shitfuckmotherfucker,,noun
shitfucks,,noun
shitfudgefucker,,noun
shitfvck,,noun
shithead,dunce,noun
shitheadfucker,,noun
shitheadfuckface,,noun
shitheads,dunce,noun
shithole,,noun
shitlicker,,noun
shits,crap,noun
shitsdick,,noun
shitsfuck,,noun
shitsful,,noun
shitstain,,noun
shitstuffers,,noun
shittastic,,noun
shittasticfuck,,noun
shitte,,noun
shitted,denounce,verb
shitter,defecator,noun
shitterfucker,,noun
shitti,,noun
shitties,,noun
shittiest,,noun
shitting,denounce,verb
shittings,defecation,noun
shitty,icky,noun
shittydick,,noun
shittydicks,,noun
shittyfuck,,noun
shittyfuckface,,noun
shittyful,,noun
shittymofoes,,noun
shiy,,noun
shlong,,noun
shmale,,noun
shtfuk,,noun
shutthefuckup,,noun
shylock,usurer,noun
shytfeisterfuck,,noun
sissy,pantywaist,noun
sixtynine,,noun
skank,filth,noun
skanks,filth,noun
skanky,disgusting,noun
skankz,,noun
sknks,,noun
sknky,,noun
sknkz,,noun
slag,scoria,noun
slantard,,noun
slanteye,,noun
slanteyeb1tch,,noun
slanteyes,,noun
slanteyeshit,,noun
slantfreak,,noun
slanty,,noun
slit,,noun
slnteye,,noun
slut,slattern,noun
sluthole,,noun
sluts,slattern,noun
slutty,,noun
sm,,noun
snatch,bit,noun
snatchlicker,,noun
soab,,noun
sob,,noun
sobs,SOB,noun
sonnabitch,,noun
sonobitch,,noun
sonofabitch,,noun
sonofbitches,,noun
sonsofb1tches,,noun
sonsofbitches,,noun
sonzofbitchez,,noun
soppybollucks,,noun
spanking,,noun
sperm,,noun
sphincter,,noun
spic,spik,noun
spicfuck,,noun
spick,spic,noun
spics,spic,noun
spicshit,,noun
spig,,noun
spik,spic,noun
spix,,noun
spook,creep,noun
spooks,creep,noun
spunk,kindling,noun
ssfcker,,noun
ssfucker,,noun
ssfvcker,,noun
sshole,,noun
stfu,,noun
stumpchewer,,noun
stupidasses,,noun
stupidfucker,,noun
stupidhoe,,noun
suck,,verb
suckmycock,,noun
suckmyd,,noun
suckmydick,,noun
suckoff,,noun
sumbitch,,noun
sumofabitch,,noun
swine,,noun
swinefucker,,noun
tacohead,,noun
tadger,,noun
takingthepiss,,noun
tallywacker,,noun
tarbaby,,noun
tard,,noun
tardasses,,noun
tart,cocotte,noun
throater,,noun
throatyogurt,,noun
ticklethepickle,,noun
timbernigger,,noun
tits,breast,noun
tonguefucker,,noun
tonguefucking,,noun
tosser,jerk-off,noun
tossingsalad,,noun
towelhead,,noun
towelheads,,noun
towelshithead,,noun
tramp,hobo,noun
tranny,,noun
transvestite,cross-dresser,noun
trashb1tch,,noun
trashbitch,,noun
trashbitches,,noun
trashbitchez,,noun
trashbtch,,noun
trasherbitch,,noun
trasherbitchs,,noun
trashybitches,,noun
trousersnake,,noun
turdcutter,,noun
turdhead,,noun
twa,,noun
twat,fathead,noun
twatface,,noun
twats,fathead,noun
twatt,,noun
twattish,,noun
twatwaffle,,noun
twatzilla,,noun
twink,,noun
